"ComputerName","Manufacturer","Model","Processor_Type","System_Type","Operating_System","Operating_System_Version","Operating_System_BuildVersion","Serial_Number","IP_Address","MAC_Address","Last_User","User_Last_Login","C:_FreeSpace_GB","Total_Memory_GB","Last_ReBoot"
"DC1","VMware, Inc.","VMware Virtual Platform","Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz","x64-based PC","Microsoft Windows Server 2019 Datacenter","10.0.17763","17763.1","VMware-42 30 d1 56 2f 0c 7a 50-44 0a ad fc 28 65 55 2e","192.168.0.253","00:50:56:B0:51:E3","Administrator","3/28/2019 4:23:52 PM","18.69","4","2/7/2022 6:41:02 AM"
"DC1","VMware, Inc.","VMware Virtual Platform","Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz","x64-based PC","Microsoft Windows Server 2019 Datacenter","10.0.17763","17763.1","VMware-42 30 d1 56 2f 0c 7a 50-44 0a ad fc 28 65 55 2e","192.168.0.253","00:50:56:B0:51:E3","Administrator","3/28/2019 4:23:52 PM","18.71","4","2/7/2022 6:41:02 AM"
"DC1","VMware, Inc.","VMware Virtual Platform","Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz","x64-based PC","Microsoft Windows Server 2019 Datacenter","10.0.17763","17763.1","VMware-42 30 d1 56 2f 0c 7a 50-44 0a ad fc 28 65 55 2e","192.168.0.253","00:50:56:B0:51:E3","Administrator","3/28/2019 4:23:52 PM","18.71","4","2/7/2022 6:41:02 AM"
"DC1","VMware, Inc.","VMware Virtual Platform","Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz","x64-based PC","Microsoft Windows Server 2019 Datacenter","10.0.17763","17763.1","VMware-42 30 d1 56 2f 0c 7a 50-44 0a ad fc 28 65 55 2e","192.168.0.253","00:50:56:B0:51:E3","Administrator","3/28/2019 4:23:52 PM","18.71","4","2/7/2022 6:41:02 AM"
"DC1","VMware, Inc.","VMware Virtual Platform","Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz","x64-based PC","Microsoft Windows Server 2019 Datacenter","10.0.17763","17763.1","VMware-42 30 d1 56 2f 0c 7a 50-44 0a ad fc 28 65 55 2e","192.168.0.253","00:50:56:B0:51:E3","Administrator","3/28/2019 4:23:52 PM","18.71","4","2/7/2022 6:41:02 AM"
"DC1","VMware, Inc.","VMware Virtual Platform","Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz","x64-based PC","Microsoft Windows Server 2019 Datacenter","10.0.17763","17763.1","VMware-42 30 d1 56 2f 0c 7a 50-44 0a ad fc 28 65 55 2e","192.168.0.253","00:50:56:B0:51:E3","Administrator","3/28/2019 4:23:52 PM","18.71","4","2/7/2022 6:41:02 AM"
"DC1","VMware, Inc.","VMware Virtual Platform","Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz","x64-based PC","Microsoft Windows Server 2019 Datacenter","10.0.17763","17763.1","VMware-42 30 d1 56 2f 0c 7a 50-44 0a ad fc 28 65 55 2e","192.168.0.253","00:50:56:B0:51:E3","Administrator","3/28/2019 4:23:52 PM","18.71","4","2/7/2022 6:41:02 AM"
"DC1","VMware, Inc.","VMware Virtual Platform","Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz","x64-based PC","Microsoft Windows Server 2019 Datacenter","10.0.17763","17763.1","VMware-42 30 d1 56 2f 0c 7a 50-44 0a ad fc 28 65 55 2e","192.168.0.253","00:50:56:B0:51:E3","Administrator","3/28/2019 4:23:52 PM","18.71","4","2/7/2022 6:41:02 AM"
"DC1","VMware, Inc.","VMware Virtual Platform","Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz","x64-based PC","Microsoft Windows Server 2019 Datacenter","10.0.17763","17763.1","VMware-42 30 d1 56 2f 0c 7a 50-44 0a ad fc 28 65 55 2e","192.168.0.253","00:50:56:B0:51:E3","Administrator","3/28/2019 4:23:52 PM","18.71","4","2/7/2022 6:41:02 AM"
"JUMPHOST","VMware, Inc.","VMware Virtual Platform","Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz","x64-based PC","Microsoft Windows Server 2019 Datacenter","10.0.17763","17763.1","VMware-42 30 a6 b5 21 dd c8 72-62 ab ed 55 40 d3 6c 2e","192.168.0.5","00:50:56:B0:B6:22","Administrator.DEMO","10/21/2020 8:15:39 PM","11.49","4","2/7/2022 6:49:45 AM"
